iter	Logloss
0	0.5927164508
1	0.5158807645
2	0.4578452375
3	0.4105559515
4	0.3765691604
5	0.3515577312
6	0.3312774482
7	0.3148125504
8	0.3016045565
9	0.2911452558
10	0.2803140713
11	0.2720298019
12	0.2651334005
13	0.2588216689
14	0.2541453437
15	0.2495246739
16	0.246663438
17	0.2443508876
18	0.240920679
19	0.2382317542
20	0.2368226056
21	0.2340527908
22	0.2321657727
23	0.2298705488
24	0.2279901276
25	0.2268035807
26	0.2248363481
27	0.2228596575
28	0.2217195066
29	0.2204964787
30	0.2193704554
31	0.2182164354
32	0.2170637666
33	0.215767121
34	0.2150284202
35	0.2143929631
36	0.2133338415
37	0.2126462459
38	0.2120262674
39	0.2112986938
40	0.2107747065
41	0.2098504811
42	0.2088947223
43	0.208152147
44	0.2077127058
45	0.2072476325
46	0.2063923157
47	0.2061511555
48	0.2056265522
49	0.2051152617
50	0.2043023273
51	0.2038007332
52	0.2033279107
53	0.2026476273
54	0.2022272611
55	0.2016015999
56	0.2012321402
57	0.2007764653
58	0.2003807179
59	0.1999718762
60	0.1994839129
61	0.1990652754
62	0.1986092032
63	0.1979849924
64	0.1975066461
65	0.1970785704
66	0.1964647714
67	0.1959334919
68	0.1957169902
69	0.1954436409
70	0.1948746086
71	0.194298463
72	0.1939213137
73	0.1933173106
74	0.1928494356
75	0.192459371
76	0.1921033036
77	0.1917862605
78	0.1915606386
79	0.1912286932
80	0.1905887455
81	0.1904125398
82	0.1901560004
83	0.1896219192
84	0.1893856471
85	0.1890551521
86	0.1888881065
87	0.1885823892
88	0.1880148671
89	0.1876939693
90	0.1873008645
91	0.1870611549
92	0.1867425024
93	0.1864149482
94	0.1859262696
95	0.1856972896
96	0.185406435
97	0.185136563
98	0.1848829842
99	0.1846075287
