iter	Passed	Remaining
0	3	305
1	5	279
2	8	274
3	11	274
4	13	264
5	16	257
6	19	252
7	21	247
8	24	242
9	26	238
10	29	237
11	32	235
12	34	232
13	37	228
14	39	225
15	42	223
16	45	220
17	47	217
18	50	214
19	52	210
20	55	207
21	57	204
22	60	202
23	63	200
24	65	197
25	68	194
26	70	191
27	73	189
28	76	186
29	78	183
30	81	180
31	83	177
32	86	174
33	88	171
34	91	169
35	93	166
36	96	164
37	99	161
38	101	158
39	104	156
40	106	153
41	109	150
42	111	148
43	114	145
44	116	142
45	119	139
46	121	137
47	124	134
48	127	132
49	129	129
50	132	127
51	134	124
52	137	121
53	140	119
54	142	116
55	145	114
56	147	111
57	150	108
58	152	106
59	155	103
60	157	100
61	160	98
62	162	95
63	165	92
64	167	90
65	170	87
66	172	85
67	175	82
68	177	79
69	180	77
70	182	74
71	185	71
72	187	69
73	190	66
74	193	64
75	195	61
76	198	59
77	200	56
78	203	54
79	205	51
80	208	48
81	210	46
82	213	43
83	215	41
84	218	38
85	220	35
86	223	33
87	226	30
88	228	28
89	230	25
90	233	23
91	235	20
92	238	17
93	240	15
94	243	12
95	245	10
96	248	7
97	250	5
98	253	2
99	256	0
